Content,Label
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive
@VirginAmerica when can I book my flight to Hawaii??,neutral
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,neutral
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral
@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral
@VirginAmerica wow this just blew my mind,positive
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,neutral
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,positive
@VirginAmerica wish you flew out of Atlanta... Soon?,neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,neutral
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,positive
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,positive
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,neutral
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,negative
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",neutral
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",neutral
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,neutral
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,negative
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",negative
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,positive
@VirginAmerica everything was fine until you lost my bag,negative
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,neutral
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",neutral
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,negative
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",neutral
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,negative
@VirginAmerica what happened to Doom?!,neutral
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,negative
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,positive
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,negative
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,negative
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,neutral
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral
@VirginAmerica Why is the site down?  When will it be back up?,negative
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",neutral
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,negative
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",negative
@VirginAmerica why is flight 345 redirected?,neutral
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,negative
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,negative
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,negative
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,negative
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,negative
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",positive
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,negative
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",neutral
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral
@VirginAmerica Have a great week 🌞✈,positive
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,positive
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",negative
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",positive
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,positive
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",positive
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,negative
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,positive
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",neutral
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,negative
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,negative
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,negative
@VirginAmerica Another delayed flight? #likingyoulessandless,negative
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,negative
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral
@VirginAmerica always!!! Xoxo,positive
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,negative
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,neutral
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,negative
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",negative
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,negative
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,positive
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,negative
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,negative
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,neutral
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),positive
@VirginAmerica is your website ever coming back online?,neutral
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",neutral
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,neutral
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,negative
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,negative
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",negative
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",negative
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",negative
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,negative
@VirginAmerica is the website down?,negative
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,negative
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,negative
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,neutral
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,negative
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,negative
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",neutral
@VirginAmerica Lister to my show my on Monday 1230 130,neutral
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,neutral
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",negative
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,negative
@VirginAmerica I'd love to know what your policy is for damaged luggage.,neutral
@VirginAmerica Thank you for the follow,positive
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,negative
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,negative
@VirginAmerica @TTINAC11 I DM you,neutral
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,neutral
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,negative
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,negative
😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,positive
@VirginAmerica Only way to fly! #Elevate #Gold,positive
@VirginAmerica If only you guys had flights from CMH.,neutral
